Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63656c90f1e02d6f6360ab1a,62edced11d9948c019253ff6,APPROVED,2022-11-04T19:48:32.752000Z,2022-11-04T19:49:43.879000Z,2022-11-08T20:00:53.986000,2022-11-04T19:49:44.629382Z,72,C4DAS9DL,501,21,Male,White,United States,United States,United States,English,No,Other
63656c941b4ba5918a2d05c2,5fde4292a4d8245990ada5bc,APPROVED,2022-11-04T19:48:39.786000Z,2022-11-04T19:50:42.588000Z,2022-11-08T20:00:38.206000,2022-11-04T19:50:43.811840Z,123,C4DAS9DL,1400,70,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656c954592b50b24805640,5e042a0f1e2e58eda522741a,APPROVED,2022-11-04T19:48:41.217000Z,2022-11-04T19:50:03.456000Z,2022-11-08T20:00:38.376000,2022-11-04T19:50:03.999951Z,83,C4DAS9DL,361,35,Female,White,Canada,United States,Canada,English,Yes,Part-Time
63656c965f42af9912086886,5a0ef93279f96a0001c73f25,APPROVED,2022-11-04T19:48:42.229000Z,2022-11-04T19:53:19.578000Z,2022-11-08T20:00:38.532000,2022-11-04T19:53:19.994295Z,278,C4DAS9DL,1995,30,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656c9a81f38fdf6cd03ba4,616f5efa164ab8e6f5de22c2,APPROVED,2022-11-04T19:48:46.366000Z,2022-11-04T19:50:28.164000Z,2022-11-08T20:00:54.081000,2022-11-04T19:50:28.547555Z,102,C4DAS9DL,327,27,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63656c9f5931b412ee0566c6,623474fa7e61d138f6e6fa44,APPROVED,2022-11-04T19:48:51.179000Z,2022-11-04T19:51:39.442000Z,2022-11-08T20:00:54.175000,2022-11-04T19:51:39.881967Z,169,C4DAS9DL,1829,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656ca6ffafada8ecec02b1,60e3e7034d9b0e69f68abf4f,APPROVED,2022-11-04T19:49:21.675000Z,2022-11-04T19:51:00.852000Z,2022-11-08T20:00:38.977000,2022-11-04T19:51:01.650831Z,100,C4DAS9DL,291,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656cad99861987572d842c,5771b1ac92c50c0001c93154,APPROVED,2022-11-04T19:49:04.383000Z,2022-11-04T19:50:27.561000Z,2022-11-08T20:00:39.117000,2022-11-04T19:50:27.996231Z,84,C4DAS9DL,736,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
63656caf85195766ec999fdc,610fb9afc435c9e8b5713f67,APPROVED,2022-11-04T19:49:05.844000Z,2022-11-04T19:50:20.965000Z,2022-11-08T20:00:54.271000,2022-11-04T19:50:21.643252Z,76,C4DAS9DL,527,23,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
63656cb2770b9daa300df58a,5d6394518df2870001a74b42,APPROVED,2022-11-04T19:49:08.634000Z,2022-11-04T19:52:08.139000Z,2022-11-08T20:00:39.259000,2022-11-04T19:52:08.561339Z,180,C4DAS9DL,1951,25,Female,Other,United States Minor Outlying Islands,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
63656cc034576aa3968b63d8,5b5c3b266b25590001778ea1,APPROVED,2022-11-04T19:49:22.981000Z,2022-11-04T19:50:55.953000Z,2022-11-08T20:00:54.372000,2022-11-04T19:50:56.380361Z,93,C4DAS9DL,3389,39,Male,Asian,Italy,United States,United States,English,Yes,Unemployed (and job seeking)
63656cc05efbf058ee4d3030,55fb0c5377f33b0005cb1f12,APPROVED,2022-11-04T19:49:25.017000Z,2022-11-04T19:53:23.675000Z,2022-11-08T20:00:39.394000,2022-11-04T19:53:24.122399Z,239,C4DAS9DL,1932,36,Female,Black,United States,United States,United States,English,No,Full-Time
63656ccefeb1513cf3202924,60fce31d926b2ab20551bb0b,APPROVED,2022-11-04T19:49:36.544000Z,2022-11-04T19:51:40.402000Z,2022-11-08T20:00:39.547000,2022-11-04T19:51:40.755593Z,124,C4DAS9DL,2243,27,Female,White,United States,United States,United States,English,No,Full-Time
63656cddde4c12a7e2f46404,5b6f73c4086b4600018c0636,APPROVED,2022-11-04T19:49:52.612000Z,2022-11-04T19:50:58.750000Z,2022-11-08T20:00:39.688000,2022-11-04T19:50:59.748066Z,67,C4DAS9DL,1409,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656cf2feb1513cf3202925,63150bb912e8134ecdc48f85,APPROVED,2022-11-04T19:50:16.126000Z,2022-11-04T19:52:05.938000Z,2022-11-08T20:00:54.466000,2022-11-04T19:52:06.359956Z,110,C4DAS9DL,4,24,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656cf7f00ab7ade12410d9,5c5aecc774a76f0001a25ced,APPROVED,2022-11-04T19:50:15.969000Z,2022-11-04T20:01:37.696000Z,2022-11-08T20:00:54.581000,2022-11-04T20:01:38.352250Z,682,C4DAS9DL,2340,35,Male,Mixed,United States,United States,United States,English,Yes,Part-Time
63656cfab325d9236b8d9887,5f974c72a0ed8c0f9ce724ea,APPROVED,2022-11-04T19:50:22.570000Z,2022-11-04T19:51:53.615000Z,2022-11-08T20:00:54.677000,2022-11-04T19:51:53.972451Z,92,C4DAS9DL,1961,31,Male,Mixed,United States,United States,United States,English,No,Part-Time
63656cfc0820c60c54596821,5ee3a34e16ad19048aef74f6,APPROVED,2022-11-04T19:50:22.403000Z,2022-11-04T19:51:33.315000Z,2022-11-08T20:00:54.776000,2022-11-04T19:51:33.712918Z,71,C4DAS9DL,3285,40,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63656cff0820c60c54596822,588e3172bc9f190001487eb8,APPROVED,2022-11-04T19:50:28.103000Z,2022-11-04T19:52:14.290000Z,2022-11-08T20:00:39.824000,2022-11-04T19:52:14.653160Z,107,C4DAS9DL,1649,38,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63656d064e1ccbd3eeed0441,5dd371cada167d3773d4ee9e,APPROVED,2022-11-04T19:50:35.695000Z,2022-11-04T19:53:26.933000Z,2022-11-08T20:00:39.970000,2022-11-04T19:53:27.336915Z,172,C4DAS9DL,2688,48,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63656d0a2d1af854d62d8467,63614f01faed46b60e592116,APPROVED,2022-11-04T19:50:38.480000Z,2022-11-04T19:52:26.930000Z,2022-11-08T20:00:54.873000,2022-11-04T19:52:27.417114Z,109,C4DAS9DL,24,26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
63656d1053d1c04541843da3,62f79d3e7a0a3d8d31ff6b10,APPROVED,2022-11-04T19:50:43.309000Z,2022-11-04T19:52:15.362000Z,2022-11-08T20:00:54.976000,2022-11-04T19:52:15.816421Z,93,C4DAS9DL,114,21,Male,Asian,United States,United States,United States,English,No,Full-Time
63656d12717a8ebab2f985af,5b915c9d22d85d000115c0f5,APPROVED,2022-11-04T19:50:44.116000Z,2022-11-04T19:52:03.602000Z,2022-11-08T20:00:40.130000,2022-11-04T19:52:04.125290Z,80,C4DAS9DL,2524,36,Female,White,United States,United States,United States,English,No,Part-Time
63656d15c7b42b7c252d0614,62b9ab586ca02d70515800d4,APPROVED,2022-11-04T19:50:50.733000Z,2022-11-04T19:53:17.798000Z,2022-11-08T20:00:40.288000,2022-11-04T19:53:18.164837Z,148,C4DAS9DL,119,37,Female,White,United States,United States,United States,English,No,Full-Time
63656d16fdf415e61760aac6,6036ed10d073a44c3c665cda,APPROVED,2022-11-04T19:50:50.273000Z,2022-11-04T19:51:55.343000Z,2022-11-08T20:00:40.436000,2022-11-04T19:51:55.762973Z,66,C4DAS9DL,618,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656d175f42af991208689c,6310c363c480d51b773c57e6,APPROVED,2022-11-04T19:50:53.045000Z,2022-11-04T19:53:33.031000Z,2022-11-08T20:00:40.589000,2022-11-04T19:53:33.726217Z,160,C4DAS9DL,249,36,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
63656d1a3c93429a7bf9856f,5e9f657265908b0fcacb1839,APPROVED,2022-11-04T19:50:53.777000Z,2022-11-04T19:53:31.941000Z,2022-11-08T20:00:40.737000,2022-11-04T19:53:32.408866Z,159,C4DAS9DL,732,40,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63656d2058dbbe50aead3d5d,614e26c35cd6b957428a1b4c,APPROVED,2022-11-04T19:51:00.168000Z,2022-11-04T19:52:32.158000Z,2022-11-08T20:00:55.076000,2022-11-04T19:52:32.543632Z,92,C4DAS9DL,1816,68,Male,White,United States,United States,United States,English,No,Full-Time
63656d277585c55de1ee2b7e,63614933e6db9b0310f090d2,APPROVED,2022-11-04T19:51:12.071000Z,2022-11-04T19:53:17.955000Z,2022-11-08T20:00:55.172000,2022-11-04T19:53:19.349461Z,126,C4DAS9DL,10,32,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656d2bad33de07e75bbd0d,6333813956b0fd924b64a4d0,APPROVED,2022-11-04T19:51:09.976000Z,2022-11-04T19:52:53.814000Z,2022-11-08T20:00:55.269000,2022-11-04T19:52:54.150843Z,104,C4DAS9DL,157,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
